key,date,site,ecoli,ente
21w39-2-CFS,2021-09-27T00:00:00Z,Confital_2,240,230
21w43-2-CFS,2021-10-25T00:00:00Z,Confital_2,0,81
21w47-2-CFS,2021-11-22T00:00:00Z,Confital_2,2,10
21w51-2-CFS,2021-12-20T00:00:00Z,Confital_2,10,24
22w01-3-PNT,2022-01-03T00:00:00Z,La_Puntilla,22,72
22w01-4-HTC,2022-01-03T00:00:00Z,Hotel_Cristina,5,12
22w01-5-HTI,2022-01-03T00:00:00Z,Reina_Isabel,2,26
22w01-6-PCH,2022-01-03T00:00:00Z,Playa_Chica,13,2
22w01-7-PVJ,2022-01-03T00:00:00Z,Pena_la_Vieja,1,2
22w01-9-CCR,2022-01-03T00:00:00Z,Cicer,1,0
22w02-3-PNT,2022-01-10T00:00:00Z,La_Puntilla,14,2
22w02-4-HTC,2022-01-10T00:00:00Z,Hotel_Cristina,4,0
22w02-5-HTI,2022-01-10T00:00:00Z,Reina_Isabel,0,0
22w02-6-PCH,2022-01-10T00:00:00Z,Playa_Chica,0,1
22w02-7-PVJ,2022-01-10T00:00:00Z,Pena_la_Vieja,0,0
22w02-9-CCR,2022-01-10T00:00:00Z,Cicer,0,0
22w03-3-PNT,2022-01-17T00:00:00Z,La_Puntilla,2,4
22w03-4-HTC,2022-01-17T00:00:00Z,Hotel_Cristina,0,1
22w03-5-HTI,2022-01-17T00:00:00Z,Reina_Isabel,0,1
22w03-6-PCH,2022-01-17T00:00:00Z,Playa_Chica,1,0
22w03-7-PVJ,2022-01-17T00:00:00Z,Pena_la_Vieja,0,1
22w03-9-CCR,2022-01-17T00:00:00Z,Cicer,0,0
22w04-2-CFS,2022-01-24T00:00:00Z,Confital_2,0,4
22w04-3-PNT,2022-01-24T00:00:00Z,La_Puntilla,5,7
22w04-4-HTC,2022-01-24T00:00:00Z,Hotel_Cristina,3,6
22w04-5-HTI,2022-01-24T00:00:00Z,Reina_Isabel,5,4
22w04-6-PCH,2022-01-24T00:00:00Z,Playa_Chica,0,0
22w04-7-PVJ,2022-01-24T00:00:00Z,Pena_la_Vieja,5,1
22w04-9-CCR,2022-01-24T00:00:00Z,Cicer,0,0
22w05-3-PNT,2022-01-31T00:00:00Z,La_Puntilla,0,2
22w05-4-HTC,2022-01-31T00:00:00Z,Hotel_Cristina,13,1
22w05-5-HTI,2022-01-31T00:00:00Z,Reina_Isabel,13,3
22w05-6-PCH,2022-01-31T00:00:00Z,Playa_Chica,10,1
22w05-7-PVJ,2022-01-31T00:00:00Z,Pena_la_Vieja,1,0
22w05-9-CCR,2022-01-31T00:00:00Z,Cicer,0,1
22w06-3-PNT,2022-02-07T00:00:00Z,La_Puntilla,27,5
22w06-4-HTC,2022-02-07T00:00:00Z,Hotel_Cristina,9,0
22w06-5-HTI,2022-02-07T00:00:00Z,Reina_Isabel,0,0
22w06-6-PCH,2022-02-07T00:00:00Z,Playa_Chica,77,1
22w06-7-PVJ,2022-02-07T00:00:00Z,Pena_la_Vieja,0,0
22w06-9-CCR,2022-02-07T00:00:00Z,Cicer,0,0
22w07-3-PNT,2022-02-14T00:00:00Z,La_Puntilla,3,5
22w07-4-HTC,2022-02-14T00:00:00Z,Hotel_Cristina,5,4
22w07-5-HTI,2022-02-14T00:00:00Z,Reina_Isabel,16,6
22w07-6-PCH,2022-02-14T00:00:00Z,Playa_Chica,9,12
22w07-7-PVJ,2022-02-14T00:00:00Z,Pena_la_Vieja,0,8
22w07-9-CCR,2022-02-14T00:00:00Z,Cicer,0,1
22w08-2-CFS,2022-02-21T00:00:00Z,Confital_2,0,4
22w08-3-PNT,2022-02-21T00:00:00Z,La_Puntilla,8,55
22w08-4-HTC,2022-02-21T00:00:00Z,Hotel_Cristina,0,1
22w08-5-HTI,2022-02-21T00:00:00Z,Reina_Isabel,1,0
22w08-6-PCH,2022-02-21T00:00:00Z,Playa_Chica,410,800
22w08-6-PCH,2022-02-24T00:00:00Z,Playa_Chica,1,1
22w08-7-PVJ,2022-02-21T00:00:00Z,Pena_la_Vieja,1,2
22w08-9-CCR,2022-02-21T00:00:00Z,Cicer,10,11
22w09-3-PNT,2022-02-28T00:00:00Z,La_Puntilla,6,2
22w09-4-HTC,2022-02-28T00:00:00Z,Hotel_Cristina,0,1
22w09-5-HTI,2022-02-28T00:00:00Z,Reina_Isabel,0,1
22w09-6-PCH,2022-02-28T00:00:00Z,Playa_Chica,4,4
22w09-7-PVJ,2022-02-28T00:00:00Z,Pena_la_Vieja,4,0
22w09-9-CCR,2022-02-28T00:00:00Z,Cicer,0,0
22w10-3-PNT,2022-03-07T00:00:00Z,La_Puntilla,16,4
22w10-4-HTC,2022-03-07T00:00:00Z,Hotel_Cristina,2,0
22w10-5-HTI,2022-03-07T00:00:00Z,Reina_Isabel,2,0
22w10-6-PCH,2022-03-07T00:00:00Z,Playa_Chica,3,0
22w10-7-PVJ,2022-03-07T00:00:00Z,Pena_la_Vieja,0,10
22w10-9-CCR,2022-03-07T00:00:00Z,Cicer,0,0
22w11-3-PNT,2022-03-14T00:00:00Z,La_Puntilla,9,10
22w11-4-HTC,2022-03-14T00:00:00Z,Hotel_Cristina,17,1
22w11-5-HTI,2022-03-14T00:00:00Z,Reina_Isabel,0,0
22w11-6-PCH,2022-03-14T00:00:00Z,Playa_Chica,2,0
22w11-7-PVJ,2022-03-14T00:00:00Z,Pena_la_Vieja,6,0
22w11-9-CCR,2022-03-14T00:00:00Z,Cicer,1,4
22w12-2-CFS,2022-03-21T00:00:00Z,Confital_2,1,2
22w12-3-PNT,2022-03-21T00:00:00Z,La_Puntilla,1,0
22w12-4-HTC,2022-03-21T00:00:00Z,Hotel_Cristina,1,0
22w12-5-HTI,2022-03-21T00:00:00Z,Reina_Isabel,4,3
22w12-6-PCH,2022-03-21T00:00:00Z,Playa_Chica,2,0
22w12-7-PVJ,2022-03-21T00:00:00Z,Pena_la_Vieja,5,4
22w12-9-CCR,2022-03-21T00:00:00Z,Cicer,0,2
22w13-3-PNT,2022-03-28T00:00:00Z,La_Puntilla,5,1
22w13-4-HTC,2022-03-28T00:00:00Z,Hotel_Cristina,0,0
22w13-5-HTI,2022-03-28T00:00:00Z,Reina_Isabel,0,1
22w13-6-PCH,2022-03-28T00:00:00Z,Playa_Chica,4,5
22w13-7-PVJ,2022-03-28T00:00:00Z,Pena_la_Vieja,40,1
22w13-9-CCR,2022-03-28T00:00:00Z,Cicer,0,1
22w14-3-PNT,2022-04-04T00:00:00Z,La_Puntilla,27,15
22w14-4-HTC,2022-04-04T00:00:00Z,Hotel_Cristina,3,10
22w14-5-HTI,2022-04-04T00:00:00Z,Reina_Isabel,9,9
22w14-6-PCH,2022-04-04T00:00:00Z,Playa_Chica,3,70
22w14-7-PVJ,2022-04-04T00:00:00Z,Pena_la_Vieja,0,7
22w14-9-CCR,2022-04-04T00:00:00Z,Cicer,0,0
22w15-3-PNT,2022-04-11T00:00:00Z,La_Puntilla,2,4
22w15-4-HTC,2022-04-11T00:00:00Z,Hotel_Cristina,37,2
22w15-5-HTI,2022-04-11T00:00:00Z,Reina_Isabel,52,1
22w15-6-PCH,2022-04-11T00:00:00Z,Playa_Chica,27,2
22w15-7-PVJ,2022-04-11T00:00:00Z,Pena_la_Vieja,16,3
22w15-9-CCR,2022-04-11T00:00:00Z,Cicer,2,0
22w16-2-CFS,2022-04-18T00:00:00Z,Confital_2,0,16
22w16-3-PNT,2022-04-18T00:00:00Z,La_Puntilla,6,10
22w16-4-HTC,2022-04-18T00:00:00Z,Hotel_Cristina,0,0
22w16-5-HTI,2022-04-18T00:00:00Z,Reina_Isabel,0,2
22w16-6-PCH,2022-04-18T00:00:00Z,Playa_Chica,28,17
22w16-7-PVJ,2022-04-18T00:00:00Z,Pena_la_Vieja,0,1
22w16-9-CCR,2022-04-18T00:00:00Z,Cicer,0,0
22w17-3-PNT,2022-04-25T00:00:00Z,La_Puntilla,20,2
22w17-4-HTC,2022-04-25T00:00:00Z,Hotel_Cristina,0,0
22w17-5-HTI,2022-04-25T00:00:00Z,Reina_Isabel,0,1
22w17-6-PCH,2022-04-25T00:00:00Z,Playa_Chica,3,3
22w17-7-PVJ,2022-04-25T00:00:00Z,Pena_la_Vieja,0,0
22w17-9-CCR,2022-04-25T00:00:00Z,Cicer,0,0
22w18-3-PNT,2022-05-02T00:00:00Z,La_Puntilla,38,11
22w18-4-HTC,2022-05-02T00:00:00Z,Hotel_Cristina,8,3
22w18-5-HTI,2022-05-02T00:00:00Z,Reina_Isabel,7,2
22w18-6-PCH,2022-05-02T00:00:00Z,Playa_Chica,36,15
22w18-7-PVJ,2022-05-02T00:00:00Z,Pena_la_Vieja,3,1
22w18-9-CCR,2022-05-02T00:00:00Z,Cicer,2,0
22w19-3-PNT,2022-05-09T00:00:00Z,La_Puntilla,28,15
22w19-4-HTC,2022-05-09T00:00:00Z,Hotel_Cristina,21,3
22w19-5-HTI,2022-05-09T00:00:00Z,Reina_Isabel,28,2
22w19-6-PCH,2022-05-09T00:00:00Z,Playa_Chica,7,1
22w19-7-PVJ,2022-05-09T00:00:00Z,Pena_la_Vieja,3,0
22w19-9-CCR,2022-05-09T00:00:00Z,Cicer,2,0
22w20-2-CFS,2022-05-16T00:00:00Z,Confital_2,1,180
22w20-3-PNT,2022-05-16T00:00:00Z,La_Puntilla,23,22
22w20-4-HTC,2022-05-16T00:00:00Z,Hotel_Cristina,38,6
22w20-5-HTI,2022-05-16T00:00:00Z,Reina_Isabel,29,1
22w20-6-PCH,2022-05-16T00:00:00Z,Playa_Chica,210,7
22w20-7-PVJ,2022-05-16T00:00:00Z,Pena_la_Vieja,1,0
22w20-9-CCR,2022-05-16T00:00:00Z,Cicer,1,0
22w21-3-PNT,2022-05-23T00:00:00Z,La_Puntilla,77,2
22w21-4-HTC,2022-05-23T00:00:00Z,Hotel_Cristina,7,1
22w21-5-HTI,2022-05-23T00:00:00Z,Reina_Isabel,23,4
22w21-6-PCH,2022-05-23T00:00:00Z,Playa_Chica,15,6
22w21-7-PVJ,2022-05-23T00:00:00Z,Pena_la_Vieja,3,5
22w21-9-CCR,2022-05-23T00:00:00Z,Cicer,6,7
22w22-3-PNT,2022-05-31T00:00:00Z,La_Puntilla,160,3
22w22-4-HTC,2022-05-31T00:00:00Z,Hotel_Cristina,19,17
22w22-5-HTI,2022-05-31T00:00:00Z,Reina_Isabel,2,0
22w22-6-PCH,2022-05-31T00:00:00Z,Playa_Chica,43,55
22w22-7-PVJ,2022-05-31T00:00:00Z,Pena_la_Vieja,11,9
22w22-9-CCR,2022-05-31T00:00:00Z,Cicer,0,0
22w23-3-PNT,2022-06-06T00:00:00Z,La_Puntilla,4,1
22w23-4-HTC,2022-06-06T00:00:00Z,Hotel_Cristina,4,1
22w23-5-HTI,2022-06-06T00:00:00Z,Reina_Isabel,5,2
22w23-6-PCH,2022-06-06T00:00:00Z,Playa_Chica,22,0
22w23-7-PVJ,2022-06-06T00:00:00Z,Pena_la_Vieja,16,9
22w23-9-CCR,2022-06-06T00:00:00Z,Cicer,6,5
22w24-2-CFS,2022-06-13T00:00:00Z,Confital_2,5,360
