key,date,site,nanoeukaryotes,picoeukaryotes,prochlorococcus,synechococcus,bacteria_hna,bacteria_lna,diatoms,dinoflagellates,silicoflagellates,protozoos,toc,tn,ton,nitrate,nitrite,silicate,phosphate,ammonium,chl_a,sst
20w21-4-HTC,2020-05-26T00:00:00Z,Hotel_Cristina,772.6416813,5265.092879,19620.74303,14181.50155,373304.3478,146043.4783,1.57,14.37,0.01,0.03,125.1,9.5,9,0.03,0.01,1.48,0.01,0.5,NA,20.8
20w27-4-HTC,2020-07-06T00:00:00Z,Hotel_Cristina,1012.999259,7098.684211,36118.42105,26447.36842,539868.1319,217494.5055,0.38,9.66,0,0,79.5,6.4,6.1,0.12,0.02,1.82,0.03,0.24,NA,21.4
20w32-4-HTC,2020-08-10T00:00:00Z,Hotel_Cristina,579.6579658,3274.198568,37124.18301,28011.20448,378684.7826,148989.1304,0.47,5.81,0,0,89.7,8.2,7,0.09,0.01,1.12,0.01,1.12,NA,22.4
20w35-4-HTC,2020-08-31T00:00:00Z,Hotel_Cristina,874.1721854,5157.04584,83601.44312,3794.567063,609129.3322,250194.421,NA,NA,NA,NA,64,6.8,5.7,0.16,0.01,0.9,0.05,0.95,NA,23
20w40-4-HTC,2020-10-05T00:00:00Z,Hotel_Cristina,914.2111816,6169.354839,62718.59083,13675.72156,603702.4514,234928.1488,NA,NA,NA,NA,72.5,5.4,4.4,0.17,0.02,0.76,0.03,0.81,NA,23.3
20w44-4-HTC,2020-11-02T00:00:00Z,Hotel_Cristina,993.6993699,8527.568922,66165.41353,11215.53885,286024.8447,177624.2236,1.37,9.9,0.01,0.02,53.3,7.2,6.5,0.19,0.01,1.54,0.06,0.45,NA,22.6
20w48-4-HTC,2020-12-01T00:00:00Z,Hotel_Cristina,419.4943924,3721.424774,46384.90165,5063.795853,242959.707,170168.4982,0.92,6.19,0,0.03,67.1,7.6,6.9,0.16,0.02,0.94,0.08,0.51,NA,21.7
21w03-4-HTC,2021-01-18T00:00:00Z,Hotel_Cristina,922.3279681,4572.368421,37618.42105,10322.36842,215951.087,173274.4565,0.53,3.94,0,0.01,85.8,8,7.5,0.05,0.02,1.76,0.1,0.42,NA,19.3
21w09-4-HTC,2021-03-02T00:00:00Z,Hotel_Cristina,1099.832905,10301.5179,7492.575483,13586.86685,359076.2179,202773.6969,0.7,2.63,0,0.04,NA,13.9,13.5,0.06,0.01,1.06,0.04,0.3,NA,19
21w15-4-HTC,2021-04-14T00:00:00Z,Hotel_Cristina,996.0352299,6911.734589,14714.31497,21982.38788,508483.5165,136976.2869,1.11,4.94,0,0.04,NA,19.5,18.4,0.54,0.06,3.1,0.12,0.46,NA,20.3
21w19-4-HTC,2021-05-12T00:00:00Z,Hotel_Cristina,587.624673,10073.63592,18119.26606,8220.666345,297894.4719,166294.7739,2.7,8.91,0.01,0.04,67.4,9.6,9.4,0.02,0,1.07,0,0.16,NA,20.3
21w26-4-HTC,2021-06-28T00:00:00Z,Hotel_Cristina,813.8462701,9028.753202,46544.24523,15461.04272,948377.9148,201437.7988,4.02,6.41,0,0.02,79.7,16.5,16.1,0.31,0.03,3.75,0.14,0.04,NA,20.9
21w30-4-HTC,2021-07-27T00:00:00Z,Hotel_Cristina,527.6679271,2587.307112,22931.89465,11671.88769,498338.8704,112639.9182,2.41,16.81,0,0.06,75.7,11.6,11.2,0.22,0.02,2.51,0.08,0.2,NA,21.4
21w50-4-HTC,2021-12-13T00:00:00Z,Hotel_Cristina,350.5960285,5886.315789,9600,6997.894737,154992.9524,104055.0797,NA,NA,NA,NA,64,6,5.7,0.18,0.03,1.17,0.09,0.04,0.38,20.7
22w04-4-HTC,2022-01-24T00:00:00Z,Hotel_Cristina,174.0806669,10808.88889,8198.69281,7127.843137,183747.1539,135639.163,NA,NA,NA,NA,59.2,23.9,23.7,0.1,0.02,0.89,0.09,0.12,0.25,20
22w07-4-HTC,2022-02-15T00:00:00Z,Hotel_Cristina,137.5602473,18341.05263,6374.736842,10307.36842,245939.4991,123473.9239,NA,NA,NA,NA,61.6,16.9,16.8,0.08,0.02,1.06,0.07,0.07,0.19,19
22w12-4-HTC,2022-03-21T00:00:00Z,Hotel_Cristina,338.4225553,5546.666667,12139.08497,16071.11111,83627.8868,125165.3475,NA,NA,NA,NA,56.3,12.2,11.9,0.21,0.04,1.43,0.12,0,0.27,18.4
22w16-4-HTC,2022-04-18T00:00:00Z,Hotel_Cristina,47.63375263,7216.842105,12496.84211,15098.94737,141207.421,115425.7214,NA,NA,NA,NA,60.5,14.4,14.2,0.15,0.015,0.345,0.01,0.02,0.06,19.3
22w20-4-HTC,2022-05-16T00:00:00Z,Hotel_Cristina,148.5163732,3553.684211,9254.736842,9583.157895,334348.9103,82619.53811,NA,NA,NA,NA,68.7,23.3,22.8,0.255,0.01,0.4,0.01,0.27,0.14,21.2
22w24-4-HTC,2022-06-14T00:00:00Z,Hotel_Cristina,101.3743966,7023.157895,12614.73684,9414.736842,176948.932,104738.1546,NA,NA,NA,NA,75.5,18.3,18,0.235,0.01,0.55,0.01,0.025,0.25,21.5
22w30-4-HTC,2022-07-28T00:00:00Z,Hotel_Cristina,172.8633196,5195.789474,20892.63158,16025.26316,380016.9905,131572.1685,NA,NA,NA,NA,66,16.9,16.7,0.115,0,0.505,0.01,0.055,0.1,23.6
22w34-4-HTC,2022-08-25T00:00:00Z,Hotel_Cristina,133.9082053,4007.320261,49434.77124,17568.62745,489959.8829,125132.8201,NA,NA,NA,NA,68.3,16.4,16.4,0,0,0.24,0.01,0.055,0.25,22.9
22w41-4-HTC,2022-10-10T00:00:00Z,Hotel_Cristina,962.2794287,2530.821364,25044.4379,10123.28546,284742.2443,63418.29085,NA,NA,NA,NA,67.6,18.7,18.23,0.365,0,0.31,0.01,0.08,0.365,22.8
22w45-4-HTC,2022-11-10T00:00:00Z,Hotel_Cristina,873.7887791,3966.188245,33153.08424,5743.890477,226167.6854,126594.3951,NA,NA,NA,NA,74.5,11.1,10.63,0.28,0.03,1.61,0.06,0.12,0.31,21.2
23w04-4-HTC,2023-01-24T00:00:00Z,Hotel_Cristina,329.9638213,4013.668812,3621.569727,18777.98162,169357.6289,122754.0076,NA,NA,NA,NA,83.2,34.2,33.98,0.1,0.02,1.78,0.07,0.1,0.12,19.6
23w08-4-HTC,2023-02-22T00:00:00Z,Hotel_Cristina,397.6770979,7889.881616,15779.76323,6409.643503,413828.0817,142571.4869,NA,NA,NA,NA,78.7,9.6,9.23,0.21,0.03,2.83,0.14,0.15,0.24,18.7
23w13-4-HTC,2023-03-30T00:00:00Z,Hotel_Cristina,469.6176866,3704.513294,10507.6257,16850.55012,176830.8154,155795.1793,NA,NA,NA,NA,68.9,13.6,13.5,0.05,0.01,1.2,0.03,0,0.06,20.2
23w18-4-HTC,2023-04-30T00:00:00Z,Hotel_Cristina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.4,10.1,10,0.01,0.07,2.19,0.2,0,NA,NA
20w17-5-HTI,2020-04-28T00:00:00Z,Reina_Isabel,387.1541,8664.799253,8011.204482,9561.157796,212703.2967,230538.4615,NA,NA,NA,NA,68.7,5,3.1,0.1,0.01,1.04,2.34,1.8,NA,20.3
20w21-5-HTI,2020-05-26T00:00:00Z,Reina_Isabel,682.5661236,731.4241486,21339.00929,12387.7709,389802.1978,127472.5275,NA,NA,NA,NA,79.5,9.2,8.8,0.08,0.01,1.12,0.01,0.29,NA,20.8
20w27-5-HTI,2020-07-06T00:00:00Z,Reina_Isabel,1023.775847,6131.578947,35125,29085.52632,448455.6962,179139.2405,NA,NA,NA,NA,100.7,8.4,7.7,0.1,0.01,1.3,0.06,0.64,NA,21.5
20w32-5-HTI,2020-08-10T00:00:00Z,Reina_Isabel,774.2323901,1691.729323,32155.38847,27825.81454,384619.5652,162913.0435,NA,NA,NA,NA,85.1,7,5.8,0.08,0.01,0.36,0.07,1.14,NA,22.4
20w35-5-HTI,2020-08-31T00:00:00Z,Reina_Isabel,459.0293565,4558.573854,60331.06961,21150.25467,612541.806,200117.0569,NA,NA,NA,NA,84.5,8,7.5,0.15,0.03,0.76,0.06,0.34,NA,23
20w40-5-HTI,2020-10-05T00:00:00Z,Reina_Isabel,656.9040138,5742.78438,58446.51952,12001.27334,571655.5184,198210.7023,NA,NA,NA,NA,83,6,5.5,0.15,0.03,0.66,0.06,0.33,NA,23.3
20w44-5-HTI,2020-11-02T00:00:00Z,Reina_Isabel,895.289529,8758.169935,66243.38624,10992.84158,363260.8696,207531.0559,NA,NA,NA,NA,58.8,7.8,5.7,0.43,0.04,1.6,0.11,1.59,NA,22.6
20w48-5-HTI,2020-12-01T00:00:00Z,Reina_Isabel,261.1654354,3555.28974,48385.16746,5336.25731,201739.1304,126260.8696,NA,NA,NA,NA,61.6,7.9,6.9,0.45,0.04,1.14,0.07,0.52,NA,21.7
21w03-5-HTI,2021-01-18T00:00:00Z,Reina_Isabel,615.7624666,4614.583333,31250,16937.5,180370.8791,169821.4286,NA,NA,NA,NA,68.1,7.8,7.3,0.12,0.01,0.42,0.01,0.39,NA,19.3
21w09-5-HTI,2021-03-02T00:00:00Z,Reina_Isabel,714.3810366,9559.066161,7554.4464610000005,11347.13744,215182.5157,274157.1728,NA,NA,NA,NA,NA,11.2,10.3,0.44,0.02,2.32,0.02,0.45,NA,19
21w15-5-HTI,2021-04-14T00:00:00Z,Reina_Isabel,514.8889771,6297.358181,13977.06328,21146.83596,345308.9245,135102.9748,NA,NA,NA,NA,NA,13,12.4,0.55,0.03,2.94,0.02,0.05,NA,20.3
21w19-5-HTI,2021-05-12T00:00:00Z,Reina_Isabel,719.9616344,10755.67359,18819.41091,9608.884597,359243.2791,158048.4567,NA,NA,NA,NA,63.7,10.7,10.5,0.14,0.01,1.55,0.02,0.06,NA,20.3
21w26-5-HTI,2021-06-28T00:00:00Z,Reina_Isabel,314.4131207,6574.937667,47422.04574,13931.72654,619812.4614,173040.6513,NA,NA,NA,NA,82.2,17,16.3,0.5,0.01,4.64,0.09,0.18,NA,20.9
20w17-6-PCH,2020-04-28T00:00:00Z,Playa_Chica,874.5874587,7988.721805,6948.621554,7694.235589,162130.4348,173869.5652,NA,NA,NA,NA,69.1,6.6,5.1,0.26,0.02,1.5,0.02,1.22,NA,20.3
20w21-6-PCH,2020-05-26T00:00:00Z,Playa_Chica,739.8408553,3796.439628,13095.97523,10379.25697,336695.6522,190608.6957,NA,NA,NA,NA,76.1,9,7.5,0.72,0.03,2.06,0.02,0.78,NA,20.8
20w27-6-PCH,2020-07-06T00:00:00Z,Playa_Chica,893.1097191,6394.736842,35052.63158,27111.84211,383120.8791,169758.2418,NA,NA,NA,NA,96.2,8.8,8,0.29,0.03,1.62,0.02,0.52,NA,21.5
20w32-6-PCH,2020-08-10T00:00:00Z,Playa_Chica,666.0666067,4223.057644,36196.74185,28182.95739,474508.4746,149796.6102,NA,NA,NA,NA,83.3,9.7,8,0.5,0.03,1.58,0.06,1.21,NA,22.4
20w35-6-PCH,2020-08-31T00:00:00Z,Playa_Chica,833.45648,3947.368421,53404.0747,21188.45501,832899.4083,197751.4793,NA,NA,NA,NA,83.6,8.9,5.8,2.48,0.09,3.5,0.1,0.54,NA,23
20w40-6-PCH,2020-10-05T00:00:00Z,Playa_Chica,367.5816683,2521.222411,45821.3073,12771.64686,584378.6982,192831.7836,NA,NA,NA,NA,88.4,5.6,4.9,0.34,0.02,1.32,0,0.34,NA,23.3
20w44-6-PCH,2020-11-02T00:00:00Z,Playa_Chica,811.2811281,9310.776942,69667.9198,9736.842105,396708.0745,146552.795,NA,NA,NA,NA,58.8,6.9,6,0.38,0.03,1.64,0.04,0.53,NA,22.6
20w48-6-PCH,2020-12-01T00:00:00Z,Playa_Chica,279.2528653,3276.182881,46776.98033,5502.392344,185992.674,109069.5971,NA,NA,NA,NA,60.2,5.2,4.4,0.4,0.03,0.98,0.05,0.39,NA,21.7
21w03-6-PCH,2021-01-18T00:00:00Z,Playa_Chica,649.1377615,6869.281046,40248.36601,10411.76471,212802.1978,154038.4615,NA,NA,NA,NA,75.6,8.6,8.1,0.37,0.02,1.16,0.03,0.09,NA,19.3
21w09-6-PCH,2021-03-02T00:00:00Z,Playa_Chica,744.4447216,10518.06633,7566.820657,12931.03448,237747.0356,285456.8705,NA,NA,NA,NA,NA,15.9,15.4,0.42,0.01,2.1,0.03,0.11,NA,19
21w15-6-PCH,2021-04-14T00:00:00Z,Playa_Chica,1083.342563,5977.882449,11906.61479,19604.75118,307798.627,149491.9908,NA,NA,NA,NA,NA,17.5,14.9,2.38,0.02,3.5,0.02,0.19,NA,20.3
21w19-6-PCH,2021-05-12T00:00:00Z,Playa_Chica,672.6117124,9060.382563,16135.99568,8418.780356,365051.4437,161865.2506,NA,NA,NA,NA,69.2,12.6,12.3,0.18,0.01,1.57,0.01,0.14,NA,20.3
21w26-6-PCH,2021-06-28T00:00:00Z,Playa_Chica,469.2011186,5422.20937,42032.96703,13527.63778,538241.2209,180875.3594,NA,NA,NA,NA,68.8,15,13.8,0.94,0.03,4,0.07,0.22,NA,20.9
20w17-7-PVJ,2020-04-28T00:00:00Z,Pena_la_Vieja,310.9926377,1985.683162,1848.739496,2172.424525,81847.82609,70076.08696,1.3,6.29,0,0.1,63.7,8.7,6.1,1.15,0.04,1.54,0.01,1.4,NA,20.3
20w21-7-PVJ,2020-05-26T00:00:00Z,Pena_la_Vieja,400.8989856,1956.26935,4353.71517,5323.142415,235560.4396,85010.98901,6.94,21.79,0,0.08,86.2,9.1,8.5,0.26,0.03,1.5,0,0.28,NA,20.8
20w27-7-PVJ,2020-07-06T00:00:00Z,Pena_la_Vieja,467.4344986,2183.006536,13032.67974,9849.673203,271604.3956,89010.98901,0.63,7.34,0,0,88.4,7.6,5.8,0.32,0.04,1.68,0.7,1.4,NA,21.4
20w32-7-PVJ,2020-08-10T00:00:00Z,Pena_la_Vieja,332.3299217,1459.899749,16842.10526,12600.25063,312945.6522,83576.08696,0.21,1.49,0,0,79.3,13,8.3,0.63,0.05,0.8,0.07,4.03,NA,22.4
